'Keema Naan', 'Special Fried Rice', 'Onion Bhaji', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Plain Papadum', 'Naan', 'Onion Bhaji', 'Madras', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Pilau Rice', 'French Fries', 'Lamb Chops', 'Saag Aloo', 'Chicken Tikka Jalfrezi', 'Chicken Tikka Karahi',,,,,,,,,,,,,,,,,,,,,,
'Vindaloo Sauce', 'Vegetable Dansak', 'Chicken Karahi', 'Lamb Shashlick Curry',,,,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Naan', 'Pilau Rice', 'Plain Rice', 'Peshwari Naan', 'Chicken Tikka Masala', 'Kurma',,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Plain Papadum', 'Dahi', 'Lemonade 1.5 ltr', 'French Fries', 'Lamb Tikka', 'Tandoori Chicken', 'Saag Aloo', 'Kurma',,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Mango Chutney', 'Plain Papadum', 'Naan', 'Garlic Naan', 'Plain Rice', 'Lemon Rice', 'Bombay Aloo', 'Kurma', 'Saag',,,,,,,,,,,,,,,,,,,
'Chapati', 'Pilau Rice', 'Garlic Naan', 'Mini Bhaji', 'Butter Chicken', 'Chicken Tikka Masala', 'Saag',,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Mushroom Rice', 'Tandoori Chicken', 'Chicken Tikka', 'Mixed Starter', 'Madras',,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Plain Papadum', 'Pilau Rice', 'Vegetable Curry', 'Chicken Karahi',,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Onion Bhaji', 'Chicken Chaat', 'Bombay Aloo',,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Mint Sauce', 'Naan', 'Tarka Dall', 'Tandoori Mixed Grill',,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Plain Papadum', 'Pilau Rice', 'Garlic Naan', 'Madras',,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Lamb Chops', 'King Prawn Puree', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Vegetable Samosa', 'Aloo Chaat', 'Garlic Chicken',,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Mushroom Rice', 'Aloo Gobi', 'Madras', 'Kurma', 'Rogon', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Naan', 'Keema Naan', 'Pilau Rice', 'Mini Bhaji', 'Mushroom Rice', 'Chicken Tikka', 'Sheek Kehab', 'Saag Aloo', 'Bhuna', 'Chicken Tikka Jalfrezi',,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Naan', 'Garlic Naan', 'Pilau Rice', 'Saag Aloo', 'Chicken Tikka Masala', 'Lamb Tikka Jalfrezi', 'Lamb Chops (Main)',,,,,,,,,,,,,,,,,,,,,
